_id,edb_id,original_edb_s_type[0],original_edb_us_type[0],original_edb_us_type[1],original_edb_us_type[2],original_edb_us_type[3],original_type_fields.edb_s_type[0],original_type_fields.edb_us_type[0],original_type_fields.edb_us_type[1],original_type_fields.edb_us_type[2],original_type_fields.edb_us_type[3],original_type_fields.cves_5type[0],original_type_fields.cves_5type[1],original_type_fields.cves_5type[2],original_type_fields.cves_5type[3],original_type_fields.cves_5type[4],original_type_fields.cnnvds_5type[0],original_type_fields.cnnvds_5type[1],original_type_fields.cnnvds_5type[2],original_type_fields.cnnvds_5type[3],original_type_fields.cnnvds_5type[4],original_type_fields.nvds_5type[0],original_type_fields.nvds_5type[1],original_type_fields.nvds_5type[2],original_type_fields.nvds_5type[3],original_type_fields.nvds_5type[4],repair_edb_s_type[0],repair_edb_s_type[1],repair_edb_s_type[2],repair_edb_s_type[3],repair_edb_s_type[4],fixed_type,new_fixed_type,ischanged
6a2f989f0de103506951f155,40617,dos,local,,,,dos,local,,,,dos,,,,,local,webapps,dos,,,dos,,,,,local,dos,,,,,dos,0
6a2f989f0de103506951f156,40686,local,remote,local,,,local,remote,local,,,local,webapps,hardware,,,local,hardware,,,,local,hardware,,,,local,hardware,,,,,local,0
6a2f98a00de103506951f157,40790,dos,remote,webapps,dos,,dos,remote,webapps,dos,,remote,webapps,hardware,,,remote,hardware,,,,remote,webapps,,,,remote,webapps,hardware,,,,remote,1
6a2f98a00de103506951f158,41298,remote,remote,webapps,,,remote,remote,webapps,,,remote,hardware,,,,remote,webapps,hardware,,,remote,hardware,,,,remote,webapps,hardware,,,,remote,0
6a2f98a00de103506951f159,44446,remote,remote,webapps,,,remote,remote,webapps,,,remote,hardware,,,,remote,webapps,hardware,,,remote,hardware,,,,remote,webapps,hardware,,,,remote,0
6a2f98a00de103506951f15a,41361,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,local,webapps,hardware,dos,remote,webapps,local,,,remote,webapps,,,,remote,webapps,local,,,,webapps,0
6a2f98a00de103506951f15b,40779,dos,remote,webapps,dos,,dos,remote,webapps,dos,,webapps,dos,,,,remote,webapps,dos,,,webapps,dos,,,,remote,webapps,dos,,,,dos,0
6a2f98a00de103506951f15c,42401,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,,,,,hardware,,,,,webapps,,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f15d,42402,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,,,,,hardware,,,,,webapps,,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f15e,48692,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f15f,41413,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,hardware,,,remote,webapps,hardware,,,remote,webapps,hardware,,,remote,webapps,hardware,,,,webapps,0
6a2f98a00de103506951f160,41414,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f161,40920,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,local,,,remote,local,,,,remote,webapps,local,,,remote,webapps,local,,,,remote,0
6a2f98a00de103506951f162,40921,local,local,webapps,,,local,local,webapps,,,remote,webapps,local,,,remote,local,,,,remote,webapps,local,,,remote,webapps,local,,,,local,0
6a2f98a00de103506951f163,42175,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,0
6a2f98a00de103506951f164,42342,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,hardware,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f165,41415,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a00de103506951f166,41416,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,hardware,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a10de103506951f167,41995,local,local,,,,local,local,,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a10de103506951f168,40862,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,dos,,,remote,,,,,remote,dos,,,,remote,webapps,dos,,,,remote,0
6a2f98a10de103506951f169,42162,dos,dos,,,,dos,dos,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f98a10de103506951f16a,42062,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,hardware,,,remote,webapps,hardware,,,remote,webapps,hardware,,,remote,webapps,hardware,,,,webapps,0
6a2f98a10de103506951f16b,41156,webapps,remote,webapps,,,webapps,remote,webapps,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,,,,,,webapps,0
6a2f98a10de103506951f16c,41157,webapps,remote,webapps,,,webapps,remote,webapps,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,,,,,,webapps,0
6a2f98a10de103506951f16d,40937,local,remote,,,,local,remote,,,,remote,dos,local,,,remote,dos,local,webapps,,remote,local,,,,remote,dos,local,,,,,1
6a2f98a10de103506951f16e,41454,dos,remote,webapps,,,dos,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a10de103506951f16f,42354,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,0
6a2f98a10de103506951f170,43125,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,0
6a2f98a10de103506951f171,41363,dos,remote,local,,,dos,remote,local,,,remote,,,,,remote,,,,,remote,,,,,remote,,,,,remote,remote,1
6a2f98a10de103506951f172,41619,local,remote,webapps,,,local,remote,webapps,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,webapps,1
6a2f98a10de103506951f173,41661,dos,remote,webapps,,,dos,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a10de103506951f174,41656,dos,remote,dos,,,dos,remote,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a10de103506951f175,41657,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a20de103506951f176,41658,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f177,41659,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a20de103506951f178,41623,dos,remote,webapps,,,dos,remote,webapps,,,remote,webapps,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f179,41654,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f17a,41655,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f17b,41648,dos,remote,,,,dos,remote,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a20de103506951f17c,41646,dos,remote,dos,,,dos,remote,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a20de103506951f17d,41649,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f17e,41650,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f17f,42234,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,dos,,,remote,webapps,,,,remote,webapps,dos,,,,,1
6a2f98a20de103506951f180,41651,dos,remote,dos,,,dos,remote,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a20de103506951f181,41652,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f182,41653,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a20de103506951f183,44479,local,local,dos,,,local,local,dos,,,local,,,,,local,,,,,local,,,,,local,,,,,,local,0
6a2f98a20de103506951f184,41645,dos,local,dos,,,dos,local,dos,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f185,41647,dos,local,dos,,,dos,local,dos,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a30de103506951f186,41891,dos,remote,,,,dos,remote,,,,remote,,,,,remote,webapps,dos,,,remote,,,,,remote,,,,,remote,remote,1
6a2f98a30de103506951f187,41987,remote,remote,dos,,,remote,remote,dos,,,remote,,,,,remote,webapps,,,,remote,,,,,remote,,,,,,remote,0
6a2f98a30de103506951f188,42009,dos,local,dos,,,dos,local,dos,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f189,41894,remote,remote,webapps,,,remote,remote,webapps,,,remote,,,,,remote,,,,,remote,,,,,remote,,,,,,remote,0
6a2f98a30de103506951f18a,42995,dos,remote,,,,dos,remote,,,,remote,,,,,remote,,,,,remote,,,,,remote,,,,,remote,remote,1
6a2f98a30de103506951f18b,41941,dos,remote,webapps,,,dos,remote,webapps,,,remote,,,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,,remote,1
6a2f98a30de103506951f18c,42020,local,remote,,,,local,remote,,,,local,,,,,local,,,,,local,,,,,local,,,,,,local,0
6a2f98a30de103506951f18d,42021,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f18e,42008,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f18f,42006,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f190,42007,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f191,42219,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a30de103506951f192,42244,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a40de103506951f193,41364,dos,remote,dos,,,dos,remote,dos,,,local,dos,hardware,,,local,dos,,,,local,dos,hardware,,,local,dos,hardware,,,,dos,0
6a2f98a40de103506951f194,41365,dos,local,dos,,,dos,local,dos,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,dos,0
6a2f98a40de103506951f195,41354,dos,remote,,,,dos,remote,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a40de103506951f196,41355,dos,remote,dos,,,dos,remote,dos,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a40de103506951f197,43464,dos,local,,,,dos,local,,,,local,,,,,local,remote,,,,local,,,,,local,,,,,local,local,1
6a2f98a40de103506951f198,41805,remote,remote,hardware,,,remote,remote,hardware,,,remote,hardware,,,,remote,hardware,,,,remote,hardware,,,,remote,hardware,,,,,remote,0
6a2f98a40de103506951f199,41806,dos,remote,hardware,,,dos,remote,hardware,,,remote,hardware,,,,remote,hardware,,,,remote,hardware,,,,remote,hardware,,,,,,1
6a2f98a40de103506951f19a,41808,remote,remote,hardware,,,remote,remote,hardware,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a40de103506951f19b,42611,local,remote,,,,local,remote,,,,,,,,,local,,,,,local,,,,,local,,,,,,local,0
6a2f98a40de103506951f19c,39441,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,webapps,,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a40de103506951f19d,45196,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,webapps,,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a40de103506951f19e,45198,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,webapps,,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a40de103506951f19f,45824,dos,local,,,,dos,local,,,,remote,,,,,remote,,,,,remote,dos,,,,remote,,,,,remote,remote,1
6a2f98a40de103506951f1a0,46341,local,remote,,,,local,remote,,,,remote,,,,,remote,,,,,remote,dos,,,,remote,,,,,remote,remote,1
6a2f98a40de103506951f1a1,43418,local,local,,,,local,local,,,,local,dos,hardware,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1a2,45147,local,local,,,,local,local,,,,local,dos,hardware,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1a3,47169,local,local,,,,local,local,,,,local,dos,hardware,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1a4,47376,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,0
6a2f98a50de103506951f1a5,49693,webapps,remote,webapps,,,webapps,remote,webapps,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,,,,,,webapps,0
6a2f98a50de103506951f1a6,42762,dos,remote,dos,,,dos,remote,dos,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f98a50de103506951f1a7,41965,dos,remote,webapps,,,dos,remote,webapps,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a50de103506951f1a8,45625,local,remote,local,,,local,remote,local,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1a9,43331,local,remote,,,,local,remote,,,,dos,local,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1aa,42273,local,local,dos,,,local,local,dos,,,local,,,,,local,,,,,local,,,,,local,,,,,,local,0
6a2f98a50de103506951f1ab,42271,local,remote,local,,,local,remote,local,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a50de103506951f1ac,42272,dos,local,,,,dos,local,,,,local,,,,,,,,,,local,,,,,local,,,,,local,local,1
6a2f98a50de103506951f1ad,43199,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a50de103506951f1ae,44305,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a50de103506951f1af,44318,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,webapps,,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a50de103506951f1b0,43733,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a50de103506951f1b1,41540,webapps,remote,webapps,,,webapps,remote,webapps,,,webapps,remote,,,,webapps,remote,,,,webapps,remote,,,,webapps,remote,,,,,webapps,0
6a2f98a60de103506951f1b2,41622,webapps,remote,webapps,,,webapps,remote,webapps,,,webapps,,,,,webapps,,,,,webapps,,,,,webapps,,,,,,webapps,0
6a2f98a60de103506951f1b3,44141,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a60de103506951f1b4,42426,local,remote,local,,,local,remote,local,,,local,,,,,local,hardware,,,,local,,,,,local,,,,,,local,0
6a2f98a60de103506951f1b5,46747,local,remote,,,,local,remote,,,,local,,,,,local,hardware,,,,local,,,,,local,,,,,,local,0
6a2f98a60de103506951f1b6,42340,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a60de103506951f1b7,43392,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,dos,,,remote,webapps,,,,remote,webapps,dos,,,remote,webapps,dos,,,,remote,0
