_id,edb_id,repair_platform[0],repair_platform[1],repair_platform[2],repair_platform[3],repair_platform[4],repair_platform[5],repair_platform[6],repair_platform[7],repair_platform[8],repair_platform[9],repair_platform[10],repair_platform[11],repair_platform[12],repair_platform[13],repair_platform[14],source_values.EDB_s[0],source_values.EDB_s[1],source_values.EDB_us[0],source_values.EDB_us[1],source_values.EDB_us[2],source_values.EDB_us[3],source_values.EDB_us[4],source_values.EDB_us[5],source_values.EDB_us[6],source_values.EDB_us[7],source_values.EDB_us[8],source_values.EDB_us[9],source_values.EDB_us[10],source_values.EDB_us[11],source_values.EDB_us[12],source_values.EDB_us[13],source_values.EDB_us[14],source_values.EDB_us[15],source_values.EDB_us[16],source_values.EDB_us[17],source_values.EDB_us[18],source_values.EDB_us[19],source_values.EDB_us[20],source_values.EDB_us[21],source_values.EDB_us[22],source_values.EDB_us[23],source_values.EDB_us[24],source_values.EDB_us[25],source_values.EDB_us[26],source_values.EDB_us[27],source_values.EDB_us[28],source_values.CVE_us[0],source_values.CVE_us[1],source_values.CVE_us[2],source_values.CVE_us[3],source_values.CVE_us[4],source_values.CVE_us[5],source_values.CVE_us[6],source_values.CVE_us[7],source_values.CVE_us[8],source_values.CVE_us[9],source_values.CVE_us[10],source_values.CVE_us[11],source_values.CVE_us[12],source_values.CVE_us[13],source_values.CVE_us[14],source_values.CVE_us[15],source_values.CVE_us[16],source_values.CVE_us[17],source_values.CVE_us[18],source_values.CVE_us[19],source_values.CVE_us[20],source_values.CVE_us[21],source_values.CVE_us[22],source_values.CVE_us[23],source_values.CVE_us[24],source_values.CVE_us[25],source_values.CVE_us[26],source_values.CVE_us[27],source_values.CVE_us[28],source_values.CVE_us[29],source_values.CVE_us[30],source_values.CVE_us[31],source_values.CVE_us[32],source_values.CVE_us[33],source_values.CVE_us[34],source_values.CVE_us[35],source_values.CVE_us[36],source_values.CNNVD_us[0],source_values.CNNVD_us[1],source_values.CNNVD_us[2],source_values.CNNVD_us[3],source_values.CNNVD_us[4],source_values.CNNVD_us[5],source_values.CNNVD_us[6],source_values.CNNVD_us[7],source_values.CNNVD_us[8],source_values.CNNVD_us[9],source_values.CNNVD_us[10],source_values.CNNVD_us[11],source_values.CNNVD_us[12],source_values.CNNVD_us[13],source_values.CNNVD_us[14],source_values.NVD_us[0],source_values.NVD_us[1],source_values.NVD_us[2],source_values.NVD_us[3],source_values.NVD_us[4],source_values.NVD_us[5],source_values.NVD_us[6],source_values.NVD_us[7],source_values.NVD_us[8],source_values.NVD_us[9],source_values.NVD_us[10],source_values.NVD_us[11],source_values.NVD_us[12],source_values.NVD_us[13],source_values.NVD_us[14],source_values.NVD_us[15],source_values.NVD_us[16],source_values.NVD_us[17],source_values.NVD_us[18],source_values.NVD_us[19],source_values.NVD_us[20],source_values.NVD_us[21]
6a2f8faa0de103506950db20,20483,php,,,,,,,,,,,,,,,cgi,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,php,,,,,,,,,,,,,,,php,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db21,20462,cgi,linux,,,,,,,,,,,,,,unix,,hp-ux,solaris,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,linux,,,,,,,,,,,,,,cgi,linux,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db22,20375,cgi,java,,,,,,,,,,,,,,windows,,java,windows,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,java,,,,,,,,,,,,,,cgi,java,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db23,19257,aix,bsd,linux,sco,solaris,unixware,,,,,,,,,,linux,,bsd,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aix,bsd,linux,sco,solaris,unixware,,,,,,,,,,aix,atheos,beos,bsd,hp-ux,immunix,irix,linux,minix,netware,novell,plan9,qnx,sco,solaris,tru64,ultrix,unixware,vxworks,,,
6a2f8faa0de103506950db24,20446,cgi,windows,,,,,,,,,,,,,,cgi,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db25,20447,cgi,windows,,,,,,,,,,,,,,cgi,,cgi,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db26,19364,novell,,,,,,,,,,,,,,,netware,,novell netware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,novell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,novell,,,,,,,,,,,,,,,novell,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db27,41694,unix,,,,,,,,,,,,,,,multiple,,linux,macos,python,,,,,,,,,,,,,,,,,,,,,,,,,,,unix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,unix,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db28,21919,linux,,,,,,,,,,,,,,,unix,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db29,19447,bsd,,,,,,,,,,,,,,,multiple,,bsd,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2a,19125,unix,,,,,,,,,,,,,,,linux,,linux,tcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,unix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unix,,,,,,,,,,,,,,,unix,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2b,19193,cfm,,,,,,,,,,,,,,,multiple,,cfm,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cfm,,,,,,,,,,,,,,,cfm,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2c,252,bsd,,,,,,,,,,,,,,,linux,,linux,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2d,19658,unixware,,,,,,,,,,,,,,,sco,,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2e,19656,unixware,,,,,,,,,,,,,,,sco,,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db2f,19457,windows,,,,,,,,,,,,,,,multiple,,windows,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,windows,,,,,,,,,,,,,,,windows,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db30,19046,macos,,,,,,,,,,,,,,,aix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,,,,,,,
